segment;tag;article_n
area;survival-analysis;1
area;finance;1
area;k-means;1
area;bayesian;5
area;bi;42
area;survey;3
area;text-mining;9
area;usage;4
area;philosophy;2
area;project-management;3
area;predictive-maintenance;0
area;anomaly-detection;2
area;predictive-modeling;3
area;mfa;1
area;glm;1
area;image-processing;1
area;classification;3
area;eda;3
area;reproducible-research;0
area;web-scraping;6
area;animation;26
area;regression;4
area;timeseries;8
area;big-data;6
area;sports;4
area;mlops;6
area;quality;1
area;analysis;56
area;development;48
area;model;10
area;ops;7
area;exploration;3
area;data-story;8
area;interaction;1
area;open-data;3
area;deployment;3
area;data-driven-decision;2
area;coding;2
area;inference;5
area;statistics;53
area;automation;4
area;effect;1
area;clustering;5
area;scientific-method;2
area;geospatial;58
area;forecasting;10
area;network-graph;10
area;dl;23
area;data-preparation;19
area;api;7
area;dashboard;2
area;cpi;1
area;ml-project-management;1
area;nosql;1
area;probability;1
area;data-mining;1
area;unit-test;1
area;drl;1
area;periodic;1
area;monte-carlo;1
area;imputation;1
area;ab-testing;2
area;interpretation;2
area;encoding;1
area;feature-visualization;2
area;unsupervised;1
area;logic;1
area;graphics;1
area;image-generation;1
area;image-recognition;1
area;lda;1
area;causality;2
area;style;1
area;feature-selection;1
area;simulation;2
area;journalism;5
area;data-governance;1
area;hardware;3
area;optimization;1
area;polling;1
area;pie-chart;1
area;vision;2
area;uncertainty;1
area;real-time;3
area;palette;3
area;database;4
area;data-driven;10
area;testing;3
area;hierarchichal-model;1
area;flow-field;1
area;count;1
area;zero-inflated;1
area;search;42
area;self-driving-car;1
area;food;1
area;gam;1
area;no-code;1
area;lingtypology;1
area;history;1
area;analytics;12
area;stats;257
area;ml;153
area;nlp;12
area;data-processing;14
area;colour;32
area;ai;122
area;3d;10
area;graph;33
area;chart;31
area;feature-engineering;4
category;infrastructure;1
category;feature;11
category;open;9
category;practice;4
category;knowledge-management;1
category;theory;5
category;organization;5
category;benefit;2
category;root-cause;1
category;toolkit;2
category;ecosystem;1
category;data;574
category;design;41
category;use-case;1
category;component;2
category;concept;29
category;data-art;3
category;health;2
category;platform;2
category;function;3
category;roadmap;1
category;privacy;1
category;process;40
category;workflow;10
category;technology;458
category;principle;6
category;tool;110
category;toolbox;0
category;technique;230
category;standard;2
category;method;65
category;methodology;27
category;cautionary-tale;22
category;book;80
category;framework;3
category;guideline;0
format;book;80
format;notebook;2
format;video;31
format;article;69
format;online;14
format;package;93
format;booklet;1
format;site;32
format;quote;1
format;pdf;1
format;audio;1
format;multiformat;0
format;application;8
format;poetry;1
format;service;1
format;website;0
format;podcast;15
format;slides;4
format;app;15
format;interactive;19
format;blog;11
format;talk;13
format;course;53
format;presentation;7
format;lecture;6
format;post;562
format;interview;12
format;paper;28
format;website;0
level;basics;38
level;fundamentals;14
level;speculation;0
level;advanced;7
level;overview;42
level;introduction;30
level;intermediate;10
level;definition;4
level;explainer;72
level;example;84
level;getting-started;6
level;beginner;1
other;writing;1
other;science;117
other;vintage;1
other;purpose;1
other;population;1
other;film;1
other;validation;1
other;sankey;3
other;press;1
other;medicine;1
other;cricket;1
other;interesting;2
other;maturity;1
other;betting;1
other;reproducible;2
other;ethics;1
other;toread;1
other;annotation;1
other;semantic;1
other;export;1
other;my-post;3
other;brain;1
other;unique;1
other;mathematics;6
other;biology;1
other;image;4
other;eating;1
other;expert;1
other;misuse;2
other;mortality;1
other;investing;1
other;communication;1
other;accident;1
other;inspiration;91
other;digital-art;1
other;environment;2
other;experiment;1
other;training;6
other;data-discovery;1
other;microsoft;3
other;google-viz;1
other;misc;1
other;outlier;2
other;storytelling;14
other;award;2
other;art;125
other;random-forest;1
other;humour;3
other;viztortion;2
other;geometric;1
other;competition;2
other;reproducability;1
other;perception;3
other;formula;1
other;paid;6
other;free;25
other;abuse;1
style;promise;1
style;dubious;23
style;caution;24
style;mistake;1
style;dystopian;1
style;cautionary-tale;22
style;peril;12
style;challenge;4
style;punditry;2
technology;ggplot;34
technology;kubernetes;1
technology;python;50
technology;observable;1
technology;svelte;0
technology;nasa;1
technology;data-illustrator;1
technology;keras;1
technology;ggmap;1
technology;html;2
technology;tidyverse;24
technology;sql;4
technology;rl;4
technology;world-bank;1
technology;dendogram;1
technology;javascript;28
technology;powerbi;11
technology;lodash;1
technology;weapons;1
technology;azure;3
technology;arcgis;1
technology;spark;1
technology;d3js;67
technology;stamen-maps;1
technology;google;2
technology;tableau;3
technology;plot;36
technology;slopegraph;1
technology;docker;1
technology;chord;1
technology;rstats;257
technology;mongodb;1
technology;storage;0
technology;postgres;1
technology;generative;6
technology;highcharter;1
technology;powerpoint;6
technology;vega;1
technology;kibana;1
technology;radial-tree;1
technology;jupyter;2
technology;software;0
technology;pandas;1
technology;highchart;1
technology;dax;1
technology;leaflet;2
technology;excel;6
technology;open-source;5
technology;svg;5
technology;matplotlib;2
technology;tensorflow;5
technology;word;1
technology;lasso;1
technology;css;3
technology;t-sne;5
technology;chat-bot;1
technology;canvas;2
technology;bezier;1
technology;looker;1
technology;pca;2
technology;ggplot2;17
technology;dnn;1
theme;data-analysis;52
theme;data-science;106
theme;pitfall;33
theme;data-viz;368
theme;data-driven-enterprise;7
theme;data-literacy;7
topic;toolkit;2
topic;design;41
topic;toolbox;0
topic;method;65
topic;workflow;10
topic;health;2
topic;data-art;3
topic;technique;230
topic;platform;2
topic;data;574
topic;standard;2
topic;use-case;1
topic;framework;3
topic;component;2
topic;tool;110
topic;principle;6
topic;function;3
topic;feature;11
topic;ecosystem;1
topic;process;40
topic;benefit;2
topic;technology;458
topic;root-cause;1
topic;guideline;0
topic;organization;5
topic;privacy;1
topic;practice;4
topic;methodology;27
topic;knowledge-management;1
topic;open;9
topic;infrastructure;1
topic;roadmap;1
topic;concept;29
topic;theory;5
type;guide;42
type;review;19
type;recommendation;16
type;repo;4
type;template;1
type;docs;4
type;report;2
type;gallery;1
type;viewpoint;6
type;formal;1
type;taxonomy;1
type;opinion;22
type;case;5
type;pr;101
type;general;71
type;discussion;1
type;cheatsheet;11
type;architecture;1
type;essay;1
type;exercise;5
type;resource;15
type;tutorial;137
type;reference;2
type;statement;1
type;description;5
type;code;10
type;research;41
type;project;8
type;list;83
type;news;8
type;advice;36
type;dataset;22
type;certification;4
type;recipe;1
type;how-to;125
type;demo;3
type;perspective;19
type;visual;53
type;source;20
type;terminology;1
type;tip;16
type;infographic;9
